"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Checkout E2E — validación matemática del Item total","0","0","","0"
"0","","0","Login SauceDemo (wording exacto con tilde en sesión)","1","0","","0"
"0","","1","Login con datos JSON y mensajes centralizados","1","0","","0"
"0","","0","Inventario — primer producto al carrito (POM)","1","0","","0"
